Area_Name,Year,Group_Name,K_A_Cases_Reported,K_A_Female_10_15_Years,K_A_Female_15_18_Years,K_A_Female_18_30_Years,K_A_Female_30_50_Years,K_A_Female_Above_50_Years,K_A_Female_Total,K_A_Female_Upto_10_Years,K_A_Grand_Total,K_A_Male_10_15_Years,K_A_Male_15_18_Years,K_A_Male_18_30_Years,K_A_Male_30_50_Years,K_A_Male_Above_50_Years,K_A_Male_Total,K_A_Male_Upto_10_Years
Jammu & Kashmir,2003,Kidnap - For Revenge,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0
Jharkhand,2003,Kidnap - For Revenge,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0
Karnataka,2003,Kidnap - For Revenge,14,0,0,0,0,0,1,1,14,1,2,4,4,2,13,0
Kerala,2003,Kidnap - For Revenge,21,1,0,1,2,3,10,3,21,0,1,3,5,2,11,0
Madhya Pradesh,2003,Kidnap - For Revenge,3,0,0,0,0,0,1,1,3,1,0,1,0,0,2,0
Maharashtra,2003,Kidnap - For Revenge,19,0,0,1,0,0,1,0,19,1,1,11,5,0,18,0
Meghalaya,2003,Kidnap - For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2003,Kidnap - For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2003,Kidnap - For Revenge,27,0,1,13,1,0,15,0,27,0,0,10,2,0,12,0
Puducherry,2003,Kidnap - For Revenge,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Punjab,2003,Kidnap - For Revenge,11,0,0,0,0,0,0,0,11,0,0,6,4,0,11,1
Rajasthan,2003,Kidnap - For Revenge,27,0,0,3,2,2,7,0,27,1,0,13,5,1,20,0
Tamil Nadu,2003,Kidnap - For Revenge,11,0,1,1,2,0,4,0,11,0,0,2,5,0,7,0
Uttar Pradesh,2003,Kidnap - For Revenge,244,0,0,0,0,0,0,0,244,0,27,140,71,6,244,0
Uttarakhand,2003,Kidnap - For Revenge,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
West Bengal,2003,Kidnap - For Revenge,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Andhra Pradesh,2003,Kidnap - For Sale,2,0,0,0,0,0,4,4,5,0,0,0,0,0,1,1
Arunachal Pradesh,2003,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2003,Kidnap - For Sale,6,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0
Bihar,2003,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2003,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2003,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2003,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2003,Kidnap - For Sale,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Haryana,2003,Kidnap - For Sale,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Himachal Pradesh,2003,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2003,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2003,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2003,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2003,Kidnap - For Sale,2,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0
Maharashtra,2003,Kidnap - For Sale,3,0,1,1,0,0,4,2,4,0,0,0,0,0,0,0
Meghalaya,2003,Kidnap - For Sale,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Nagaland,2003,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2003,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2003,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2003,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2003,Kidnap - For Sale,2,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0
Andhra Pradesh,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2003,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2003,Kidnap - For Slavery,62,2,0,18,0,0,20,0,62,1,0,41,0,0,42,0
Arunachal Pradesh,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2003,Kidnap - For Slavery,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Maharashtra,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2003,Kidnap - For Slavery,2,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0
West Bengal,2003,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2003,Kidnap - For Unlawful Activity,319,3,5,87,56,0,151,0,343,15,10,112,55,0,192,0
Arunachal Pradesh,2003,Kidnap - For Unlawful Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2003,Kidnap - For Unlawful Activity,75,0,0,6,0,0,6,0,75,0,0,42,27,0,69,0
Bihar,2003,Kidnap - For Unlawful Activity,49,0,0,7,0,0,7,0,49,0,0,25,17,0,42,0
Chandigarh,2003,Kidnap - For Unlawful Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2003,Kidnap - For Unlawful Activity,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Daman & Diu,2003,Kidnap - For Unlawful Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2003,Kidnap - For Unlawful Activity,46,6,13,10,1,0,33,3,46,3,1,4,2,0,13,3
Gujarat,2003,Kidnap - For Unlawful Activity,16,0,1,0,0,0,1,0,16,0,0,11,4,0,15,0
Haryana,2003,Kidnap - For Unlawful Activity,15,0,0,0,1,0,1,0,22,0,0,11,10,0,21,0
Himachal Pradesh,2003,Kidnap - For Unlawful Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2003,Kidnap - For Unlawful Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2003,Kidnap - For Unlawful Activity,13,0,0,0,0,0,0,0,13,1,0,12,0,0,13,0
Karnataka,2003,Kidnap - For Unlawful Activity,40,3,5,17,0,0,25,0,40,1,3,3,7,0,15,1
Kerala,2003,Kidnap - For Unlawful Activity,13,1,0,1,1,0,3,0,13,0,1,5,3,0,10,1
Madhya Pradesh,2003,Kidnap - For Unlawful Activity,23,3,1,4,0,0,8,0,23,2,2,9,1,1,15,0
Maharashtra,2003,Kidnap - For Unlawful Activity,24,1,0,2,0,0,4,1,24,1,0,2,16,0,20,1
Meghalaya,2003,Kidnap - For Unlawful Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2003,Kidnap - For Unlawful Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2003,Kidnap - For Unlawful Activity,11,0,0,3,0,0,3,0,11,1,0,4,2,0,8,1
Punjab,2003,Kidnap - For Unlawful Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2003,Kidnap - For Unlawful Activity,28,1,0,0,4,1,7,1,35,0,3,9,10,5,28,1
Uttar Pradesh,2003,Kidnap - For Unlawful Activity,5,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0
Uttarakhand,2003,Kidnap - For Unlawful Activity,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0
West Bengal,2003,Kidnap - For Unlawful Activity,27,2,3,5,0,0,10,0,29,1,0,11,4,1,19,2
Andhra Pradesh,2004,Kidnap - For Adoption,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Arunachal Pradesh,2004,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2004,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2004,Kidnap - For Adoption,8,0,0,3,0,0,3,0,8,0,0,5,0,0,5,0
Chhattisgarh,2004,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2004,Kidnap - For Adoption,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Himachal Pradesh,2004,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2004,Kidnap - For Adoption,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Karnataka,2004,Kidnap - For Adoption,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Kerala,2004,Kidnap - For Adoption,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0
Madhya Pradesh,2004,Kidnap - For Adoption,2,0,1,0,0,0,1,0,2,0,0,0,0,0,1,1
Maharashtra,2004,Kidnap - For Adoption,3,0,0,0,0,0,1,1,3,0,0,0,0,0,2,2
Manipur,2004,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2004,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2004,Kidnap - For Adoption,5,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0
Nagaland,2004,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2004,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2004,Kidnap - For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2004,Kidnap - For Adoption,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Tamil Nadu,2004,Kidnap - For Adoption,5,0,2,3,0,0,5,0,5,0,0,0,0,0,0,0
Uttar Pradesh,2004,Kidnap - For Adoption,6,0,0,0,0,0,0,0,6,0,0,4,1,0,6,1
West Bengal,2004,Kidnap - For Adoption,18,0,0,9,0,0,10,1,18,0,0,6,2,0,8,0
Andhra Pradesh,2004,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2004,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2004,Kidnap - For Begging,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Chandigarh,2004,Kidnap - For Begging,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
Chhattisgarh,2004,Kidnap - For Begging,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Gujarat,2004,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2004,Kidnap - For Begging,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Himachal Pradesh,2004,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2004,Kidnap - For Begging,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
Madhya Pradesh,2004,Kidnap - For Begging,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
Maharashtra,2004,Kidnap - For Begging,5,0,0,0,0,0,5,5,6,0,0,0,0,0,1,1
Manipur,2004,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2004,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2004,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2004,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2004,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2004,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2004,Kidnap - For Begging,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Tamil Nadu,2004,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2004,Kidnap - For Begging,4,0,1,0,0,0,1,0,4,1,0,0,0,0,3,2
West Bengal,2004,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2004,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2004,Kidnap - For Illicit Intercourse,102,11,12,68,8,1,102,2,102,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Kidnap - For Illicit Intercourse,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Assam,2004,Kidnap - For Illicit Intercourse,218,0,0,159,59,0,218,0,218,0,0,0,0,0,0,0
Bihar,2004,Kidnap - For Illicit Intercourse,57,1,0,52,4,0,57,0,57,0,0,0,0,0,0,0
Chhattisgarh,2004,Kidnap - For Illicit Intercourse,18,10,6,1,0,0,17,0,18,1,0,0,0,0,1,0
Delhi,2004,Kidnap - For Illicit Intercourse,3,1,0,1,1,0,3,0,3,0,0,0,0,0,0,0
Gujarat,2004,Kidnap - For Illicit Intercourse,136,11,19,80,10,0,121,1,136,1,1,11,0,0,15,2
Haryana,2004,Kidnap - For Illicit Intercourse,66,0,13,58,0,0,71,0,71,0,0,0,0,0,0,0
Himachal Pradesh,2004,Kidnap - For Illicit Intercourse,3,0,1,2,0,0,3,0,3,0,0,0,0,0,0,0
Jammu & Kashmir,2004,Kidnap - For Illicit Intercourse,217,0,0,182,31,0,213,0,218,0,0,2,3,0,5,0
Jharkhand,2004,Kidnap - For Illicit Intercourse,44,1,0,11,4,0,16,0,20,0,0,4,0,0,4,0
Karnataka,2004,Kidnap - For Illicit Intercourse,13,2,2,7,1,0,13,1,13,0,0,0,0,0,0,0
Kerala,2004,Kidnap - For Illicit Intercourse,18,5,8,5,0,0,18,0,18,0,0,0,0,0,0,0
Madhya Pradesh,2004,Kidnap - For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2004,Kidnap - For Illicit Intercourse,38,10,10,15,2,0,39,2,39,0,0,0,0,0,0,0
Manipur,2004,Kidnap - For Illicit Intercourse,14,0,10,4,0,0,14,0,14,0,0,0,0,0,0,0
Meghalaya,2004,Kidnap - For Illicit Intercourse,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Mizoram,2004,Kidnap - For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2004,Kidnap - For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2004,Kidnap - For Illicit Intercourse,65,1,1,34,31,0,67,0,67,0,0,0,0,0,0,0
Punjab,2004,Kidnap - For Illicit Intercourse,76,2,6,63,5,0,76,0,76,0,0,0,0,0,0,0
Rajasthan,2004,Kidnap - For Illicit Intercourse,14,0,0,14,0,0,14,0,14,0,0,0,0,0,0,0
Tamil Nadu,2004,Kidnap - For Illicit Intercourse,30,0,5,19,5,0,30,1,30,0,0,0,0,0,0,0
Tripura,2004,Kidnap - For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2004,Kidnap - For Illicit Intercourse,892,44,185,351,162,1,748,5,892,0,4,30,110,0,144,0
Uttarakhand,2004,Kidnap - For Illicit Intercourse,6,0,0,3,3,0,6,0,6,0,0,0,0,0,0,0
West Bengal,2004,Kidnap - For Illicit Intercourse,35,5,11,21,0,0,37,0,37,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Kidnap - For Marriage,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0
Andhra Pradesh,2004,Kidnap - For Marriage,388,53,80,230,12,0,376,1,388,0,0,6,6,0,12,0
Arunachal Pradesh,2004,Kidnap - For Marriage,35,5,0,30,0,0,35,0,35,0,0,0,0,0,0,0
Assam,2004,Kidnap - For Marriage,1181,0,0,1022,159,0,1181,0,1181,0,0,0,0,0,0,0
Bihar,2004,Kidnap - For Marriage,833,2,0,754,9,0,765,0,833,1,7,55,5,0,68,0
Chandigarh,2004,Kidnap - For Marriage,27,0,23,4,0,0,27,0,27,0,0,0,0,0,0,0
Chhattisgarh,2004,Kidnap - For Marriage,101,19,27,55,0,0,101,0,101,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2004,Kidnap - For Marriage,6,3,2,1,0,0,6,0,6,0,0,0,0,0,0,0
Delhi,2004,Kidnap - For Marriage,309,50,76,183,0,0,309,0,309,0,0,0,0,0,0,0
Goa,2004,Kidnap - For Marriage,4,1,3,0,0,0,4,0,4,0,0,0,0,0,0,0
Gujarat,2004,Kidnap - For Marriage,688,84,167,410,9,0,672,2,692,0,2,16,1,0,20,1
Haryana,2004,Kidnap - For Marriage,173,0,15,139,3,0,157,0,174,0,7,10,0,0,17,0
Himachal Pradesh,2004,Kidnap - For Marriage,91,4,12,70,5,0,91,0,91,0,0,0,0,0,0,0
Jammu & Kashmir,2004,Kidnap - For Marriage,301,0,27,237,38,0,302,0,302,0,0,0,0,0,0,0
Jharkhand,2004,Kidnap - For Marriage,157,1,1,73,23,0,98,0,109,0,0,11,0,0,11,0
Karnataka,2004,Kidnap - For Marriage,73,5,11,52,0,0,68,0,73,0,0,2,3,0,5,0
Kerala,2004,Kidnap - For Marriage,27,1,10,16,0,0,27,0,27,0,0,0,0,0,0,0
Madhya Pradesh,2004,Kidnap - For Marriage,305,0,101,188,16,0,305,0,305,0,0,0,0,0,0,0
Maharashtra,2004,Kidnap - For Marriage,504,64,170,269,8,0,511,0,512,0,0,1,0,0,1,0
Manipur,2004,Kidnap - For Marriage,56,0,17,34,5,0,56,0,56,0,0,0,0,0,0,0
Meghalaya,2004,Kidnap - For Marriage,16,4,6,6,0,0,16,0,16,0,0,0,0,0,0,0
Mizoram,2004,Kidnap - For Marriage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2004,Kidnap - For Marriage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2004,Kidnap - For Marriage,165,0,0,125,45,0,170,0,174,0,0,2,2,0,4,0
Puducherry,2004,Kidnap - For Marriage,8,0,4,4,0,0,8,0,8,0,0,0,0,0,0,0
Punjab,2004,Kidnap - For Marriage,149,3,7,141,1,0,152,0,152,0,0,0,0,0,0,0
Rajasthan,2004,Kidnap - For Marriage,1334,14,53,1046,219,1,1334,1,1334,0,0,0,0,0,0,0
Sikkim,2004,Kidnap - For Marriage,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Tamil Nadu,2004,Kidnap - For Marriage,541,10,61,447,11,0,529,0,541,0,0,11,1,0,12,0
Tripura,2004,Kidnap - For Marriage,54,2,8,44,0,0,54,0,54,0,0,0,0,0,0,0
Uttar Pradesh,2004,Kidnap - For Marriage,1347,16,226,952,153,0,1347,0,1347,0,0,0,0,0,0,0
Uttarakhand,2004,Kidnap - For Marriage,121,6,23,72,19,0,121,1,121,0,0,0,0,0,0,0
West Bengal,2004,Kidnap - For Marriage,797,9,81,659,48,0,797,0,797,0,0,0,0,0,0,0
Andhra Pradesh,2004,Kidnap - For Prostitution,30,0,5,25,0,0,30,0,30,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2004,Kidnap - For Prostitution,40,0,0,27,13,0,40,0,40,0,0,0,0,0,0,0
Bihar,2004,Kidnap - For Prostitution,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0
Chhattisgarh,2004,Kidnap - For Prostitution,41,38,0,0,0,0,38,0,41,0,0,0,2,1,3,0
Delhi,2004,Kidnap - For Prostitution,12,4,2,6,0,0,12,0,12,0,0,0,0,0,0,0
Gujarat,2004,Kidnap - For Prostitution,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Himachal Pradesh,2004,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2004,Kidnap - For Prostitution,5,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0
Karnataka,2004,Kidnap - For Prostitution,3,1,0,1,0,0,3,1,3,0,0,0,0,0,0,0
Madhya Pradesh,2004,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2004,Kidnap - For Prostitution,36,2,24,42,1,0,69,0,69,0,0,0,0,0,0,0
Manipur,2004,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2004,Kidnap - For Prostitution,2,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0
Mizoram,2004,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2004,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2004,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
